model,modeli,count,year,type,stype,size,emp,make
NIKON+CORPORATION+NIKON+D70s,NIKON+CORPORATION+NIKON+D70s,23,2005,dslr,ccd,367.35,6,NIKON
NIKON+CORPORATION+NIKON+D50,NIKON+CORPORATION+NIKON+D50,26,2005,dslr,ccd,367.35,6,NIKON
NIKON+CORPORATION+NIKON+D200,NIKON+CORPORATION+NIKON+D200,21,2005,dslr,ccd,372.88,10,NIKON
NIKON+D40,NIKON+CORPORATION+NIKON+D40,2,2006,dslr,ccd,367.35,6,NIKON
NIKON+CORPORATION+NIKON+D40,NIKON+CORPORATION+NIKON+D40,78,2006,dslr,ccd,367.35,6,NIKON
NIKON+CORPORATION+NIKON+D80,NIKON+CORPORATION+NIKON+D80,22,2006,dslr,ccd,372.88,10,NIKON
Nikon+Coolpix+P5000,NIKON+COOLPIX+P5000,1,2007,c,ccd,38.16,10,NIKON
NIKON+COOLPIX+P5000,NIKON+COOLPIX+P5000,216,2007,c,ccd,38.16,10,NIKON
NIKON+CORPORATION+NIKON+D40X,NIKON+CORPORATION+NIKON+D40X,1,2007,dslr,ccd,369.72,10,NIKON
Nikon+D300,NIKON+CORPORATION+NIKON+D300,3,2007,dslr,cmos,372.88,12,NIKON
NIKON+D300,NIKON+CORPORATION+NIKON+D300,24,2007,dslr,cmos,372.88,12,NIKON
NIKON+CORPORATION+NIKON+D300,NIKON+CORPORATION+NIKON+D300,97,2007,dslr,cmos,372.88,12,NIKON
NIKON+COOLPIX+L18,NIKON+COOLPIX+L18,1,2008,c,ccd,24.745152,8,NIKON
NIKON+CORPORATION+NIKON+D60,NIKON+CORPORATION+NIKON+D60,28,2008,dslr,ccd,372.88,10,NIKON
NIKON+CORPORATION+NIKON+D90,NIKON+CORPORATION+NIKON+D90,99,2008,dslr,cmos,372.88,12,NIKON
NIKON+CORPORATION+NIKON+D3,NIKON+CORPORATION+NIKON+D3,1,2008,dslr,cmos,860.4,12,NIKON
NIKON+CORPORATION+NIKON+D3X,NIKON+CORPORATION+NIKON+D3X,1,2008,dslr,cmos,861.6,25,NIKON
NIKON+CORPORATION+NIKON+D700,NIKON+CORPORATION+NIKON+D700,112,2008,dslr,cmos,864,12,NIKON
NIKON+CORPORATION+NIKON+D3000,NIKON+CORPORATION+NIKON+D3000,15,2009,dslr,ccd,372.88,10,NIKON
NIKON+CORPORATION+NIKON+D300S,NIKON+CORPORATION+NIKON+D300S,11,2009,dslr,cmos,372.88,12,NIKON
NIKON+CORPORATION+NIKON+D5000,NIKON+CORPORATION+NIKON+D5000,39,2009,dslr,cmos,372.88,12,NIKON
NIKON+CORPORATION+NIKON+D3S,NIKON+CORPORATION+NIKON+D3S,1,2009,dslr,cmos,860.4,12,NIKON
NIKON+COOLPIX+P100,NIKON+COOLPIX+P100,1,2010,b,bsi-cmos,28.0735,10,NIKON
NIKON+COOLPIX+S8100,NIKON+COOLPIX+S8100,1,2010,c,bsi-cmos,28.0735,12,NIKON
NIKON+COOLPIX+P7000,NIKON+COOLPIX+P7000,34,2010,c,ccd,41.5152,10,NIKON
NIKON+CORPORATION+NIKON+D3100,NIKON+CORPORATION+NIKON+D3100,24,2010,dslr,cmos,355.74,14,NIKON
NIKON+CORPORATION+NIKON+D7000,NIKON+CORPORATION+NIKON+D7000,72,2010,dslr,cmos,370.52,16,NIKON
NIKON+COOLPIX+P7100,NIKON+COOLPIX+P7100,2,2011,c,ccd,41.5152,10,NIKON
NIKON+1+V1,NIKON+1+V1,1,2011,mrls,cmos,116.16,10,NIKON
NIKON+CORPORATION+NIKON+D5100,NIKON+CORPORATION+NIKON+D5100,155,2011,dslr,cmos,368.16,16,NIKON
NIKON+D5100,NIKON+D5100,2,2011,dslr,cmos,370.52,16,NIKON
NIKON+COOLPIX+P7700,NIKON+COOLPIX+P7700,1,2012,c,cmos,41.5152,12,NIKON
NIKON+CORPORATION+NIKON+D3200,NIKON+CORPORATION+NIKON+D3200,14,2012,dslr,cmos,357.28,24,NIKON
NIKON+CORPORATION+NIKON+D4,NIKON+CORPORATION+NIKON+D4,124,2012,dslr,cmos,860.4,16,NIKON
NIKON+CORPORATION+NIKON+D800E,NIKON+CORPORATION+NIKON+D800E,6,2012,dslr,cmos,861.6,36,NIKON
NIKON+CORPORATION+NIKON+D600,NIKON+CORPORATION+NIKON+D600,30,2012,dslr,cmos,861.6,24,NIKON
NIKON+CORPORATION+NIKON+D800,NIKON+CORPORATION+NIKON+D800,45,2012,dslr,cmos,861.6,36,NIKON
NIKON+CORPORATION+NIKON+D7100,NIKON+CORPORATION+NIKON+D7100,4,2013,dslr,cmos,366.6,24,NIKON
Nokia+N95,Nokia+N95,1,2007,phone,cmos,,5,NOKIA
Nokia+N73,Nokia+N73,2,2007,phone,cmos,,3,NOKIA
Nokia+N8-00,Nokia+N8-00,2,2007,webcam,,,,NOKIA
NORITSU+KOKI+QSS-29,NORITSU+KOKI+QSS-29,4,,,,,,NORITSU
NORITSU+KOKI+EZ+Controller,NORITSU+KOKI+EZ+Controller,12,,scan,,,,NORITSU
OLYMPUS+OPTICAL+CO.%2CLTD+C3040Z,OLYMPUS+OPTICAL+CO.%2CLTD+C3040Z,1,2000,c,ccd,38.277552,3,OLYMPUS
OLYMPUS+OPTICAL+CO.%2CLTD+C960Z%2CD460Z,OLYMPUS+OPTICAL+CO.%2CLTD+C960Z%2CD460Z,5,2000,c,ccd,,1,OLYMPUS
OLYMPUS+OPTICAL+CO.%2CLTD+C200Z%2CD510Z,OLYMPUS+OPTICAL+CO.%2CLTD+C200Z%2CD510Z,1,2001,c,ccd,21.163008,2,OLYMPUS
OLYMPUS+OPTICAL+CO.%2CLTD+C4100Z%2CC4000Z,OLYMPUS+OPTICAL+CO.%2CLTD+C4100Z%2CC4000Z,2,2002,c,ccd,38.277552,4,OLYMPUS
OLYMPUS+CORPORATION+X250%2CD560Z%2CC350Z,OLYMPUS+CORPORATION+X250%2CD560Z%2CC350Z,1,2003,c,ccd,24.745152,3,OLYMPUS
X-2%2CC-50Z,X-2%2CC-50Z,1,2003,c,ccd,,5,OLYMPUS
OLYMPUS+CORPORATION+C765UZ,OLYMPUS+CORPORATION+C765UZ,1,2004,c,ccd,24.745152,4,OLYMPUS
