model,count,year,type,stype,size,emp,make
SONY+DSC-W15,1,2002,c,ccd,38.1976,5,SONY
NIKON+COOLPIX+S8100,1,2010,c,bsi-cmos,28.0735,12,NIKON
SONY+DSC-RX100M2,1,2013,c,bsi-cmos,116.16,20,SONY
NIKON+COOLPIX+L18,1,2008,c,ccd,24.745152,8,NIKON
NIKON+COOLPIX+P2,1,2005,c,ccd,38.277552,5,NIKON
NIKON+COOLPIX+P1,1,2005,c,ccd,38.277552,8,NIKON
NIKON+D100,1,2002,dslr,ccd,367.35,6,NIKON
KONICA+MINOLTA+DiMAGE+Z10,1,2004,c,ccd,24.745152,3,MINOLTA
HTC+PC36100,1,2010,phone,,,8,HTC
Canon+PowerShot+A60,1,2003,c,ccd,21.163008,2,CANON
SONY+DSLR-A350,1,2008,dslr,ccd,372.88,14,SONY
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Camera%2C+M522,1,2011,c,ccd,28.4592,14,KODAK
OLYMPUS+IMAGING+CORP.+E-5,1,2010,dslr,cmos,224.9,12,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-3,1,2007,dslr,nmos,224.9,10,OLYMPUS
Panasonic+DMC-G5,1,2012,mrls,cmos,224.9,16,PANASONIC
Philips+SPC900NC,1,2003,webcam,,,,PHILIPS
FUJI+PHOTO+FILM+CO.%2C+LTD.+SP-2000,1,,scan,,,,FUJIFILM
FUJIFILM+X-E1,1,2012,mrls,cmos,368.16,16,FUJIFILM
Samsung+Techwin+%3C+Digimax+U-CA+5%2C+Kenox+U-CA+5+%2F+Kenox+U-CA+50+%3E,1,2005,c,ccd,30.72,5,SAMSUNG
Canon+Canon+EOS+DIGITAL+REBEL+XT,1,2005,dslr,cmos,328.56,8,CANON
PENTAX+Corporation+PENTAX+Optio+S5n,1,2005,c,ccd,24.745152,5,PENTAX
w48fHQ%3D%3D,1,,,,,,
RICOH+IMAGING+COMPANY%2C+LTD.+PENTAX+K-3,1,2013,dslr,cmos,366.6,24,PENTAX
NIKON+CORPORATION+NIKON+D3,1,2008,dslr,cmos,860.4,12,NIKON
Canoscan+8800F,1,2008,scan,,,,CANON
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z710+ZOOM+DIGITAL+CAMERA,1,2006,c,ccd,24.745152,7,KODAK
NIKON+CORPORATION+NIKON+D3X,1,2008,dslr,cmos,861.6,25,NIKON
NIKON+CORPORATION+NIKON+D3S,1,2009,dslr,cmos,860.4,12,NIKON
DMC-FZ20,1,2004,c,ccd,24.745152,5,PANASONIC
NIKON+COOLPIX+P7700,1,2012,c,cmos,41.5152,12,NIKON
Canon+PowerShot+S1+IS,1,2004,c,ccd,21.163008,3,CANON
Canon+PowerShot+SD880+IS,1,2008,c,ccd,28.0735,10,CANON
SBIG+ST-L-11K+3+CCD+Camera,1,2003,astro,ccd,889.2,11,SBIG
Canon+PowerShot+A95,1,2004,c,ccd,38.277552,5,CANON
SONY+HANDYCAM,1,,v,,,,SONY
NIKON+D70s,1,2005,dslr,ccd,367.35,6,NIKON
SONY+DSC-T7,1,2005,c,ccd,27.944112,5,SONY
FUJIFILM+FinePixS2Pro,1,2002,dslr,ccd,356.5,6,FUJIFILM
SONY+DSC-RX1,1,2012,c,cmos,852.04,24,SONY
Canon+Eos,1,,,,,,CANON
Panasonic+DMC-FZ30,1,2005,c,ccd,38.277552,8,PANASONIC
SONY+DSLR-A230,1,2009,dslr,ccd,368.95,10,SONY
