lon,lat,ISO,size,make,secpast,views,type,x,y
6.850522,47.055972,12800,860.4,NIKON,601110605.0,1596,dslr,41.0,17.0
6.850522,47.055972,12800,860.4,NIKON,601110927.0,1707,dslr,41.0,17.0
6.850522,47.055972,25600,860.4,NIKON,601110474.0,371,dslr,41.0,17.0
6.850522,47.055972,10000,860.4,NIKON,601107281.0,1734,dslr,38.0,20.0
6.850522,47.055972,10000,860.4,NIKON,601106951.0,2177,dslr,49.0,10.0
6.854395,47.111757,5000,864.0,NIKON,525408063.0,602,dslr,8.0,26.0
6.575531,46.966079,6400,864.0,NIKON,525313909.0,890,dslr,8.0,26.0
8.02946,46.392647,12800,860.4,NIKON,594522194.0,248,dslr,10.0,24.0
6.575531,46.966079,5000,860.4,NIKON,559436317.0,281,dslr,10.0,24.0
6.640033,46.996997,10000,860.4,NIKON,569725805.0,316,dslr,10.0,24.0
6.640033,46.996997,12800,860.4,NIKON,569726532.0,308,dslr,10.0,24.0
6.640033,46.996997,8000,860.4,NIKON,569727556.0,396,dslr,8.0,26.0
6.840534,47.065327,10000,860.4,NIKON,559528476.0,594,dslr,8.0,26.0
6.840534,47.065327,10000,860.4,NIKON,559528256.0,555,dslr,10.0,24.0
6.851627,47.110443,10000,860.4,NIKON,602835822.0,1464,dslr,24.0,14.0
7.385215,46.342661,8000,860.4,NIKON,591838529.0,233,dslr,47.0,18.0
6.521844,46.914246,5000,864.0,NIKON,558402764.0,431,dslr,7.0,31.0
6.521844,46.914246,8000,864.0,NIKON,558403105.0,369,dslr,13.0,22.0
6.840534,47.065327,10000,860.4,NIKON,559527702.0,387,dslr,40.0,8.0
6.521844,46.914246,8000,864.0,NIKON,558404141.0,745,dslr,37.0,10.0
6.640033,46.996997,8000,860.4,NIKON,569727873.0,324,dslr,38.0,15.0
6.521844,46.914246,8000,864.0,NIKON,558404232.0,292,dslr,38.0,15.0
6.586647,46.971936,8000,860.4,NIKON,569729024.0,571,dslr,38.0,15.0
6.586647,46.971936,10000,860.4,NIKON,569729552.0,561,dslr,37.0,12.0
6.640033,46.996997,12800,860.4,NIKON,569726344.0,343,dslr,37.0,11.0
6.586647,46.971936,10000,860.4,NIKON,569729352.0,385,dslr,37.0,12.0
6.521844,46.914246,10000,864.0,NIKON,558404761.0,464,dslr,38.0,15.0
6.521844,46.914246,10000,864.0,NIKON,558405078.0,317,dslr,38.0,15.0
7.779521,46.006038,4000,864.0,NIKON,612494566.0,357,dslr,37.0,15.0
7.779521,46.006038,4000,864.0,NIKON,612493312.0,376,dslr,38.0,15.0
7.779521,46.006038,4000,864.0,NIKON,612490748.0,300,dslr,35.0,20.0
7.779521,46.006038,4000,864.0,NIKON,612483905.0,2038,dslr,37.0,15.0
7.779521,46.006038,4000,864.0,NIKON,612492058.0,403,dslr,36.0,12.0
7.779521,46.006038,4000,864.0,NIKON,612490748.0,2164,dslr,37.0,12.0
6.852464,47.053531,6400,864.0,NIKON,546311681.0,224,dslr,37.0,12.0
6.852464,47.053531,5000,864.0,NIKON,546309113.0,217,dslr,37.0,12.0
6.849825,47.109852,6400,864.0,NIKON,500517197.0,1034,dslr,37.0,12.0
6.523132,46.917148,6400,864.0,NIKON,558406593.0,343,dslr,37.0,12.0
6.584951,46.968766,10000,860.4,NIKON,601942803.0,308,dslr,37.0,12.0
6.584951,46.968766,10000,860.4,NIKON,601943326.0,272,dslr,37.0,12.0
6.584951,46.968766,10000,860.4,NIKON,601943754.0,252,dslr,37.0,12.0
6.584951,46.968766,8000,860.4,NIKON,601942255.0,396,dslr,37.0,12.0
6.584951,46.968766,8000,860.4,NIKON,601942380.0,258,dslr,37.0,12.0
