x,y,phi,radius,distance,phibin,size,year,make,type,emp
-16.5653361964,-7.04199096139,-2.73963390604,18,18.0,22,864.0,2008.0,CANON,dslr,21.0
-18.4987101203,-7.60248142937,-2.75166222014,20,20.0,22,864.0,2008.0,CANON,dslr,21.0
-21.2248259954,-8.86040413678,-2.74613023061,23,23.0,22,864.0,2012.0,CANON,dslr,20.0
-23.010294109,-9.77375900133,-2.7399287491,25,25.0,22,864.0,2012.0,CANON,dslr,20.0
-24.8858845006,-10.4734307951,-2.74323529545,27,27.0,22,864.0,2012.0,CANON,dslr,20.0
-28.6644694525,-11.8045834746,-2.75093887961,31,31.0,22,864.0,2012.0,CANON,dslr,22.0
-29.6211246707,-12.1073933298,-2.75357298803,32,32.0,22,864.0,2012.0,CANON,dslr,20.0
-32.3665641123,-13.3193666352,-2.75119807759,35,35.0,22,864.0,2012.0,CANON,dslr,20.0
-6.43853399544,-2.7468673047,-2.7383427772,7,7.0,23,864.0,2008.0,CANON,dslr,21.0
-19.2854164158,-8.31099955903,-2.73469533111,21,21.0,23,864.0,2008.0,CANON,dslr,21.0
-20.1444966689,-8.84303420544,-2.72794053061,22,22.0,23,864.0,2012.0,CANON,dslr,22.0
-22.0555950048,-9.46312469459,-2.73629005407,24,24.0,23,864.0,2012.0,CANON,dslr,20.0
-23.8400264357,-10.3756030931,-2.73109939475,26,26.0,23,864.0,2005.0,CANON,dslr,13.0
-25.741053292,-11.0180840176,-2.73715374205,28,28.0,23,864.0,2012.0,CANON,dslr,20.0
-26.5586032825,-11.646484091,-2.72832623172,29,29.0,23,864.0,2008.0,CANON,dslr,21.0
-27.4822482384,-12.0302132883,-2.72897669701,30,30.0,23,864.0,2012.0,CANON,dslr,22.0
-29.2220691195,-13.0411148441,-2.7218397289,32,32.0,23,864.0,2012.0,CANON,dslr,22.0
-30.2217787375,-13.2530785081,-2.7283201825,33,33.0,23,864.0,2005.0,CANON,dslr,13.0
-31.2522189105,-13.3902506761,-2.73679703768,34,34.0,23,864.0,2012.0,CANON,dslr,20.0
-31.9673920152,-14.2508191956,-2.72224330659,35,35.0,23,864.0,2008.0,CANON,dslr,21.0
